,name,uri,danceability,energy,loudness,speechiness,acousticness,liveness
155,Find a Way (Listenbee Radio Edit),spotify:track:1JcY4vdUn4j4cNrJk6CBrf,0.743,0.688,-6.862,0.0395,0.125,0.35
156,Brute (Radio Edit),spotify:track:3jw5woJQBNn6p1NABefZSi,0.59,0.867,-4.68,0.0468,0.00233,0.157
157,Summer Dream [CC483],spotify:track:42yuGYvViDUT5KlnBudxD1,0.565,0.765,-4.567,0.0938,0.0456,0.471
158,Crawl,spotify:track:6mKGGe2tU0qKrmgGqVYYqm,0.786,0.745,-7.766,0.0632,0.219,0.0787
159,Neverdeader,spotify:track:6fupMN2b5sjYzoCASCwIOQ,0.58,0.676,-8.577,0.0618,0.0497,0.121
160,Someone to Write About,spotify:track:2eEYL29F1I4U3zqUzm7e83,0.715,0.756,-12.28,0.0942,0.196,0.0916
161,Parallel Lines,spotify:track:3F95GrnJmIZlCUHwOVdBD6,0.573,0.664,-7.561,0.0465,0.672,0.115
162,All Eyez (feat. Jeremih) - Bonus Track,spotify:track:6KHpPnr1ZiALM6cyJsY2UA,0.419,0.655,-6.679,0.247,0.0571,0.0962
163,The Ocean (feat. Shy Martin),spotify:track:2CPqh63wRVscbceKcPxwvv,0.632,0.575,-6.478,0.029,0.0225,0.104
164,Starving,spotify:track:2zDt2TfQbxiSPjTVJTgbwz,0.724,0.628,-4.219,0.0962,0.409,0.105
165,All We Know,spotify:track:2rizacJSyD9S1IQUxUxnsK,0.662,0.586,-8.821,0.0307,0.097,0.115
166,Ryat,spotify:track:1MXmtk0zJhEhi4bqiPkq3D,0.836,0.768,-7.358,0.0689,0.422,0.162
167,Ain't Giving Up,spotify:track:3mkJigBxWd5DJUsRuwHG3f,0.661,0.909,-2.323,0.0494,0.0981,0.305
168,Jungle,spotify:track:2Ro1i5jA2krJYkFJOrRrFa,0.704,0.811,-5.662,0.0734,0.152,0.202
169,Verwijderd,spotify:track:278DmJYdPjUXtxUCYJSD6k,0.766,0.629,-6.594,0.207,0.413,0.0922
170,Do Or Die,spotify:track:2Y63yg1Lgdp96IoiZIvjKz,0.755,0.822,-4.787,0.099,0.0848,0.182
171,Human,spotify:track:3erAiWBiKsbVG39cqCrsI0,0.643,0.698,-4.094,0.276,0.414,0.169
172,Trumpets - Radio Mix,spotify:track:0ORp7jlJX6suJdbmSj8Lu3,0.571,0.746,-4.473,0.304,0.00281,0.0418
173,One Night Stand (feat. Sevn Alias),spotify:track:2no9x9FRytP9PnB3CQPYSs,0.754,0.628,-6.277,0.133,0.0267,0.0896
174,Waste All My Love (feat. Molly),spotify:track:2PEIC3WoTkZ08YLIgNSIXt,0.548,0.754,-4.977,0.0423,0.115,0.0525
175,Redemption,spotify:track:4Qkn99VAAI7nrVYTYdCs0x,0.769,0.63,-8.518,0.0378,0.027,0.0861
176,Good Grief - Don Diablo Remix,spotify:track:5OxQFKHOB2uiFRpyoy7fGD,0.749,0.801,-3.459,0.0974,0.0187,0.138
177,The Greatest,spotify:track:3XIIOCu6B8PuGq5j61asEM,0.666,0.723,-6.164,0.268,0.0109,0.0507
178,Heathens,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,-9.348,0.0286,0.0841,0.105
179,Ain't My Fault,spotify:track:4nA0biSjtvOL41Hd9MBXqR,0.576,0.782,-4.825,0.0296,0.00778,0.285
180,Scars To Your Beautiful,spotify:track:42ydLwx4i5V49RXHOozJZq,0.319,0.739,-5.74,0.272,0.0285,0.111
181,Juju on That Beat (TZ Anthem),spotify:track:1lItf5ZXJc1by9SbPeljFd,0.807,0.887,-3.892,0.275,0.00381,0.391
182,Bad Things - With Camila Cabello,spotify:track:6H2TKJ9KJfcq6MRmw2cF20,0.689,0.692,-4.756,0.133,0.229,0.184
183,Thinking About You,spotify:track:6C6MLXm77V9VH0v27oJRak,0.702,0.914,-3.197,0.0507,0.0271,0.259
184,True Disaster,spotify:track:1UP5QeusHgerbteiQ7uvWh,0.598,0.766,-6.15,0.0476,0.0489,0.107
185,16,spotify:track:24PfqZhNmyx4TaWGHdmA58,0.552,0.788,-5.58,0.189,0.184,0.121
186,Fire,spotify:track:3TcAHa91Y6t167Q43sKHrq,0.403,0.645,-6.938,0.0836,0.136,0.114
187,Uber,spotify:track:6HKUskrFUQdUoiVr3dO6yj,0.745,0.59,-9.096,0.0647,0.159,0.085
188,All Alright,spotify:track:4v0a03M7mRosoathDqxsGE,0.691,0.673,-6.444,0.137,0.0262,0.28
189,It's Luh,spotify:track:0FuqAvX7XmZ09QeRpa8znf,0.791,0.827,-8.019,0.286,0.0599,0.107
190,Remember Me? (feat. Chance The Rapper),spotify:track:23NzFAUUFhJTIc8gZGvq7J,0.501,0.687,-7.757,0.482,0.217,0.384
191,Fake Love,spotify:track:2Vr6FETnu1h4ZoeU0f5XOS,0.923,0.535,-7.353,0.301,0.161,0.103
192,Sneakin’,spotify:track:7vL1M0BHhpjbaKrwRimJ4L,0.806,0.558,-6.538,0.172,0.00496,0.16
193,Strobe - ATTLAS Remix,spotify:track:68ZdNEIJ1v0sb0JKlPA1Z3,0.459,0.776,-10.139,0.042,0.581,0.0779
194,Fairy Dust - Chapter I,spotify:track:5uqtHww30G9gqXYgCI7Fss,0.3,0.128,-21.978,0.0505,0.677,0.164
195,WTF Love Is,spotify:track:6c579TvmkyzIyamRCKKEV0,0.665,0.607,-7.734,0.0532,0.165,0.122
196,Influence,spotify:track:6KOODgYBIwgjebxpS1NArT,0.755,0.592,-9.636,0.0576,0.0961,0.104
197,Forbes (feat. G-Eazy),spotify:track:2Kt9BxrGKoFF9QPueruRe5,0.747,0.782,-4.326,0.283,0.0223,0.0902
198,Ritualet,spotify:track:0jyEgENBwbqCZHMykyLWLS,0.861,0.457,-8.054,0.278,0.19,0.0869
199,I'm In Control,spotify:track:61Hpk4KD1A6fODGrz4LKx0,0.686,0.718,-7.824,0.203,0.113,0.103
200,This Summer,spotify:track:16tuHj7miSvvCNbHTqVCy1,0.614,0.545,-11.765,0.0333,0.0102,0.0792
201,History,spotify:track:3xQKT2z5BHYICxzpOJ9XP8,0.677,0.922,-1.616,0.045,0.00611,0.0567
202,Movements,spotify:track:3gZUflBBfgS3QiTSTg0hk0,0.824,0.538,-7.972,0.269,0.26,0.13
203,Unicorn Zombie Apocalypse - Original Mix,spotify:track:0AC357XM98E9iRQ67MhVzi,0.677,0.885,-2.946,0.0658,0.00425,0.052
204,Gooey,spotify:track:3djK2yDqJArNAzHyhzSf8G,0.482,0.373,-13.427,0.0447,0.729,0.0927
